date,close,adjusted_close,dividends,stock_splits,ticker
2018-01-02,125.1500015258789,125.1500015258789,0.0,0.0,GLD
2018-01-02,158.49000549316406,150.05722045898438,0.0,0.0,QQQ
2018-01-02,268.7699890136719,235.95428466796875,0.0,0.0,SPY
2018-01-02,125.48999786376953,97.57402038574219,0.0,0.0,TLT
2018-01-03,124.81999969482422,124.81999969482422,0.0,0.0,GLD
2018-01-03,160.02999877929688,151.5153045654297,0.0,0.0,QQQ
2018-01-03,270.4700012207031,237.44674682617188,0.0,0.0,SPY
2018-01-03,126.08999633789062,98.04055786132812,0.0,0.0,TLT
2018-01-04,125.45999908447266,125.45999908447266,0.0,0.0,GLD
2018-01-04,160.30999755859375,151.78042602539062,0.0,0.0,QQQ
2018-01-04,271.6099853515625,238.44760131835938,0.0,0.0,SPY
2018-01-04,126.06999969482422,98.02501678466797,0.0,0.0,TLT
2018-01-05,125.33000183105469,125.33000183105469,0.0,0.0,GLD
2018-01-05,161.9199981689453,153.3047332763672,0.0,0.0,QQQ
2018-01-05,273.4200134277344,240.03652954101562,0.0,0.0,SPY
2018-01-05,125.70999908447266,97.74504852294922,0.0,0.0,TLT
2018-01-08,125.30999755859375,125.30999755859375,0.0,0.0,GLD
2018-01-08,162.5500030517578,153.90118408203125,0.0,0.0,QQQ
2018-01-08,273.9200134277344,240.47552490234375,0.0,0.0,SPY
2018-01-08,125.62999725341797,97.68284606933594,0.0,0.0,TLT
2018-01-09,124.7300033569336,124.7300033569336,0.0,0.0,GLD
2018-01-09,162.55999755859375,153.91070556640625,0.0,0.0,QQQ
2018-01-09,274.5400085449219,241.01983642578125,0.0,0.0,SPY
2018-01-09,123.94999694824219,96.37659454345703,0.0,0.0,TLT
2018-01-10,125.02999877929688,125.02999877929688,0.0,0.0,GLD
2018-01-10,162.17999267578125,153.55091857910156,0.0,0.0,QQQ
2018-01-10,274.1199951171875,240.65103149414062,0.0,0.0,SPY
2018-01-10,123.80000305175781,96.25997924804688,0.0,0.0,TLT
2018-01-11,125.44000244140625,125.44000244140625,0.0,0.0,GLD
2018-01-11,163.2899932861328,154.6018524169922,0.0,0.0,QQQ
2018-01-11,276.1199951171875,242.4068603515625,0.0,0.0,SPY
2018-01-11,124.30999755859375,96.65647888183594,0.0,0.0,TLT
2018-01-12,126.95999908447266,126.95999908447266,0.0,0.0,GLD
2018-01-12,164.49000549316406,155.738037109375,0.0,0.0,QQQ
2018-01-12,277.9200134277344,243.98715209960938,0.0,0.0,SPY
2018-01-12,124.5199966430664,96.81979370117188,0.0,0.0,TLT
2018-01-16,127.16999816894531,127.16999816894531,0.0,0.0,GLD
2018-01-16,164.02000427246094,155.29299926757812,0.0,0.0,QQQ
2018-01-16,276.9700012207031,243.15310668945312,0.0,0.0,SPY
2018-01-16,125.04000091552734,97.2241439819336,0.0,0.0,TLT
2018-01-17,126.13999938964844,126.13999938964844,0.0,0.0,GLD
2018-01-17,165.7899932861328,156.96884155273438,0.0,0.0,QQQ
2018-01-17,279.6099853515625,245.4707794189453,0.0,0.0,SPY
2018-01-17,124.87000274658203,97.09192657470703,0.0,0.0,TLT
2018-01-18,125.86000061035156,125.86000061035156,0.0,0.0,GLD
2018-01-18,165.82000732421875,156.9972686767578,0.0,0.0,QQQ
2018-01-18,279.1400146484375,245.0582275390625,0.0,0.0,SPY
2018-01-18,123.70999908447266,96.19001007080078,0.0,0.0,TLT
2018-01-19,126.41999816894531,126.41999816894531,0.0,0.0,GLD
2018-01-19,166.33999633789062,157.48956298828125,0.0,0.0,QQQ
2018-01-19,280.4100036621094,246.17318725585938,0.0,0.0,SPY
2018-01-19,123.05999755859375,95.68453216552734,0.0,0.0,TLT
2018-01-22,126.6500015258789,126.6500015258789,0.0,0.0,GLD
2018-01-22,168.1199951171875,159.1748809814453,0.0,0.0,QQQ
2018-01-22,282.69000244140625,248.17478942871094,0.0,0.0,SPY
2018-01-22,123.18000030517578,95.7778549194336,0.0,0.0,TLT
2018-01-23,127.27999877929688,127.27999877929688,0.0,0.0,GLD
2018-01-23,169.50999450683594,160.49090576171875,0.0,0.0,QQQ
2018-01-23,283.2900085449219,248.70144653320312,0.0,0.0,SPY
2018-01-23,123.70999908447266,96.19001007080078,0.0,0.0,TLT
2018-01-24,128.8300018310547,128.8300018310547,0.0,0.0,GLD
2018-01-24,168.41000366210938,159.44944763183594,0.0,0.0,QQQ
2018-01-24,283.17999267578125,248.60496520996094,0.0,0.0,SPY
2018-01-24,123.04000091552734,95.66900634765625,0.0,0.0,TLT
2018-01-25,127.97000122070312,127.97000122070312,0.0,0.0,GLD
2018-01-25,168.35000610351562,159.3926544189453,0.0,0.0,QQQ
2018-01-25,283.29998779296875,248.71018981933594,0.0,0.0,SPY
2018-01-25,124.05000305175781,96.4543228149414,0.0,0.0,TLT
2018-01-26,128.07000732421875,128.07000732421875,0.0,0.0,GLD
